Cohort ID	Likelihood Weights	Mortality Prob
0	1.6470812157212036e-10	0.417022004702574
1	4.470423980003878e-15	0.7203244934421581
2	0.0013925145333890884	0.00011437481734488664
3	0.00016529096841284962	0.30233257263183977
4	0.00016529096841284962	0.14675589081711304
5	1.3148048046297286e-05	0.0923385947687978
6	1.4286705345691519e-05	0.1862602113776709
7	6.136219276405913e-10	0.34556072704304774
8	3.4953185974864418e-12	0.39676747423066994
9	3.631831500981356e-15	0.538816734003357
10	2.700534264650133e-09	0.4191945144032948
11	5.3006738795830846e-17	0.6852195003967595
12	7.389882274551603e-07	0.20445224973151743
13	1.387026573075831e-23	0.8781174363909454
14	0.0016261543049811598	0.027387593197926163
15	4.470423980003878e-15	0.6704675101784022
16	1.4161594580335872e-09	0.41730480236712697
17	5.827770603579381e-14	0.5586898284457517
18	5.32815949394685e-05	0.14038693859523377
19	5.241205925849979e-06	0.1981014890848788
20	4.6072281518209727e-20	0.8007445686755367
21	4.02693636653681e-23	0.9682615757193975
22	9.9285301724597e-08	0.31342417815924284
23	1.1514051185349676e-15	0.6923226156693141
24	1.6848568507111324e-21	0.8763891522960383
25	7.490734983865448e-21	0.8946066635038473
26	0.00010197882349356134	0.08504421136977791
27	0.0051412513936724726	0.03905478323288236
28	8.779192559529777e-07	0.1698304195645689
29	2.606643055332695e-24	0.8781425034294131
30	0.0018982685955570104	0.0983468338330501
31	3.1257893935933035e-08	0.42110762500505217
32	1.1916439676725222e-21	0.9578895301505019
33	3.6125686080792324e-16	0.5331652849730171
34	1.9836374026739254e-19	0.6918771139504734
35	1.061172969832195e-08	0.31551563100606295
36	4.029543905591518e-15	0.6865009276815837
37	1.484146557267888e-20	0.8346256718973729
38	0.004415270977892823	0.018288277344191806
39	3.6125686080792324e-16	0.7501443149449675
40	2.311781801938693e-24	0.9888610889064947
41	5.3006738795830846e-17	0.7481656543798394
42	6.377050006262302e-08	0.2804439920644052
43	9.411447246671075e-21	0.7892793284514885
44	7.389882274551603e-07	0.10322600657764203
45	4.781947549557059e-11	0.44789352617590517
46	5.315562704204138e-21	0.9085955030930956
47	3.1257893935933035e-08	0.2936141483736795
48	9.56761375119679e-07	0.28777533858634874
